ID,Código,Descrição,Unidade,NCM,Origem,Preço,Valor IPI fixo,Observações,Situação,Estoque,Preço de custo,Cód no fornecedor,Fornecedor,Localização,Estoque maximo,Estoque minimo,Peso líquido (Kg),Peso bruto (Kg),GTIN/EAN,GTIN/EAN da embalagem,Largura do Produto,Altura do Produto,Profundidade do produto,Data Validade,Descrição do Produto no Fornecedor,Descrição Complementar,Itens p/ caixa,Produto Variação,Tipo Produção,Classe de enquadramento do IPI,Código da lista de serviços,Tipo do item,Grupo de Tags/Tags,Tributos,Código Pai,Código Integração,Grupo de produtos,Marca,CEST,Volumes,Descrição Curta,Cross-Docking,URL Imagens Externas,Link Externo,Meses Garantia no Fornecedor,Clonar dados do pai,Condição do produto,Frete Grátis,Número FCI,Vídeo,Departamento,Unidade de medida,Preço de compra,Valor base ICMS ST para retenção,Valor ICMS ST para retenção,Valor ICMS próprio do substituto,Categoria do produto,Informações Adicionais
,DNX-BON-001,Boné Aba Reta DropNexo,UN,6505.00.10,0,"59,90",0,Simples sem variação,Ativo,40,"28,00",,DropNexo,Prateleira A1,80,5,"0,18","0,23",,,20,12,18,,Boné Aba Reta DropNexo,Boné Aba Reta DropNexo — item de teste,1,Produto,Própria,,,,,,,0,DropNexo Teste,DropNexo,,1,Boné aba reta unissex,,,,3,Não,NOVO,Não,,,Adulto Unissex,Centímetro,"25,20",0,0,0,DropNexo Teste>>Bonés,Produto de teste DropNexo / Bling
,DNX-MEI-001,Meia Cano Alto Pack,UN,6115.95.00,0,"29,90",0,Simples sem variação,Ativo,80,"12,00",,DropNexo,Prateleira A1,160,5,"0,12","0,17",,,10,5,15,,Meia Cano Alto Pack,Meia Cano Alto Pack — item de teste,1,Produto,Própria,,,,,,,0,DropNexo Teste,DropNexo,,1,Meia cano alto algodão,,,,3,Não,NOVO,Não,,,Adulto Unissex,Centímetro,"10,80",0,0,0,DropNexo Teste>>Meias,Produto de teste DropNexo / Bling
,DNX-CIN-001,Cinto Couro Sintético,UN,4203.30.00,0,"49,90",0,Simples sem variação,Ativo,35,"22,00",,DropNexo,Prateleira A1,70,5,"0,25","0,30",,,8,4,30,,Cinto Couro Sintético,Cinto Couro Sintético — item de teste,1,Produto,Própria,,,,,,,0,DropNexo Teste,DropNexo,,1,Cinto unissex fivela metálica,,,,3,Não,NOVO,Não,,,Adulto Unissex,Centímetro,"19,80",0,0,0,DropNexo Teste>>Acessórios,Produto de teste DropNexo / Bling
,DNX-SAC-001,Sacola Ecobag DropNexo,UN,4202.92.00,0,"24,90",0,Simples sem variação,Ativo,100,"9,50",,DropNexo,Prateleira A1,200,5,"0,15","0,20",,,35,40,10,,Sacola Ecobag DropNexo,Sacola Ecobag DropNexo — item de teste,1,Produto,Própria,,,,,,,0,DropNexo Teste,DropNexo,,1,Ecobag reutilizável,,,,3,Não,NOVO,Não,,,Adulto Unissex,Centímetro,"8,55",0,0,0,DropNexo Teste>>Acessórios,Produto de teste DropNexo / Bling
,DNX-BON-002,Boné Dad Hat Logo,UN,6505.00.10,0,"54,90",0,Simples sem variação,Ativo,45,"25,00",,DropNexo,Prateleira A1,90,5,"0,16","0,21",,,20,12,18,,Boné Dad Hat Logo,Boné Dad Hat Logo — item de teste,1,Produto,Própria,,,,,,,0,DropNexo Teste,DropNexo,,1,Dad hat com logo bordado,,,,3,Não,NOVO,Não,,,Adulto Unissex,Centímetro,"22,50",0,0,0,DropNexo Teste>>Bonés,Produto de teste DropNexo / Bling
,DNX-TOA-001,Touca Beanie Inverno,UN,6505.00.90,0,"39,90",0,Simples sem variação,Ativo,60,"15,00",,DropNexo,Prateleira A1,120,5,"0,14","0,19",,,18,10,18,,Touca Beanie Inverno,Touca Beanie Inverno — item de teste,1,Produto,Própria,,,,,,,0,DropNexo Teste,DropNexo,,1,Touca beanie unissex,,,,3,Não,NOVO,Não,,,Adulto Unissex,Centímetro,"13,50",0,0,0,DropNexo Teste>>Toucas,Produto de teste DropNexo / Bling
,DNX-CAM-001,Camisa Básica Algodão,UN,6109.10.00,0,"79,90",0,Produto pai com variações,Ativo,0,"35,00",,DropNexo,Prateleira B1,200,8,"0,22","0,30",,,30,2,40,,Camisa Básica Algodão,Camisa Básica Algodão — com variações de tamanho e cor,1,Produto,Própria,,,,,,,0,DropNexo Teste,DropNexo,,1,Camisa básica unissex,,,,3,Não,NOVO,Não,,,Adulto Unissex,Centímetro,"31,50",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-001-P-PRT,Tamanho:P;Cor:Preto,UN,6109.10.00,0,"79,90",0,Variação P/Preto,Ativo,12,"35,00",,DropNexo,Prateleira B1,80,3,"0,22","0,30",,,30,2,40,,Camisa Básica Algodão P Preto,,1,Variação,Própria,,,,,,DNX-CAM-001,0,DropNexo Teste,DropNexo,,1,Camisa básica unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"31,50",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-001-P-BRA,Tamanho:P;Cor:Branco,UN,6109.10.00,0,"79,90",0,Variação P/Branco,Ativo,12,"35,00",,DropNexo,Prateleira B1,80,3,"0,22","0,30",,,30,2,40,,Camisa Básica Algodão P Branco,,1,Variação,Própria,,,,,,DNX-CAM-001,0,DropNexo Teste,DropNexo,,1,Camisa básica unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"31,50",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
,DNX-CAM-001-M-PRT,Tamanho:M;Cor:Preto,UN,6109.10.00,0,"79,90",0,Variação M/Preto,Ativo,20,"35,00",,DropNexo,Prateleira B1,80,3,"0,22","0,30",,,30,2,40,,Camisa Básica Algodão M Preto,,1,Variação,Própria,,,,,,DNX-CAM-001,0,DropNexo Teste,DropNexo,,1,Camisa básica unissex,,,,3,Sim,NOVO,Não,,,Adulto Unissex,Centímetro,"31,50",0,0,0,DropNexo Teste>>Camisetas,Produto de teste DropNexo / Bling
